date_receipt,cpp_wtd_med,pop_ww,flow_wtd_med,temp_ww_wtd_med,n_samples,tests,population,incidence,new_tests_per_thousand,variant,p_delta,p_omicron
2021-06-07,NA,NA,NA,NA,NA,746120,5873420,48.149119252496845,127.03331278880106,NA,1,0
2021-06-14,NA,NA,NA,NA,NA,595093,5873420,28.194816648562504,101.319674057023,NA,1,0
2021-06-21,NA,NA,NA,NA,NA,547703,5873420,22.201715525196562,93.25112115258231,NA,1,0
2021-06-28,NA,NA,NA,NA,NA,639416,5873420,45.74847363205764,108.8660439743795,NA,1,0
2021-07-05,NA,NA,NA,NA,NA,657140,5873420,79.05104691985248,111.88370659683795,delta,1,0
2021-07-12,NA,NA,NA,NA,NA,614420,5873420,116.89952361656412,104.6102611425711,delta,1,0
2021-07-19,NA,NA,NA,NA,NA,498377,5873420,90.23703395977131,84.8529476863565,delta,1,0
2021-07-26,NA,NA,NA,NA,NA,442544,5873420,107.2628894238791,75.34690180508119,delta,1,0
2021-08-02,NA,NA,NA,NA,NA,419486,5873420,108.86331983750523,71.42108005216723,delta,1,0
2021-08-09,NA,NA,NA,NA,NA,410136,5873420,117.7167646788413,69.82916256627314,delta,1,0
2021-08-16,NA,NA,NA,NA,NA,475263,5873420,117.44435099141556,80.91759145438263,delta,1,0
2021-08-23,NA,NA,NA,NA,NA,507511,5873420,106.66698448263533,86.4080893244481,delta,1,0
2021-08-30,NA,NA,NA,NA,NA,400333,5873420,76.19070320188239,68.16011795512665,delta,1,0
2021-09-06,NA,NA,NA,NA,NA,326709,5873420,55.01053900453228,55.625002128231934,delta,1,0
2021-09-13,NA,NA,NA,NA,NA,264216,5873420,37.06528734536267,44.98503427304705,delta,1,0
2021-09-20,NA,NA,NA,NA,NA,242700,5873420,42.47950938294895,41.32175121138962,delta,1,0
2021-09-27,68.60795454545455,11649119,5056,4.099370971499573,481,245964,5873420,51.31592836882089,41.877475133738095,delta,1,0
2021-10-04,96.44190351351074,12432100,5099.722214450331,3.642436081497575,495,269664,5873420,68.90363706324425,45.91260287873164,delta,1,0
2021-10-11,179.213302845129,14065600,4047.567718595949,3.0993709714995727,524,373029,5873420,85.70815640631864,63.51137837920666,delta,1,0
2021-10-18,251.7426079128462,10577879,5781.663159535756,2.499370971499573,441,470470,5873420,148.44843379155586,80.10154220198794,delta,1,0
2021-10-25,455.08967903089035,14164730,4732,2.199370971499574,537,634010,5873420,203.44194694062404,107.94562622798982,delta,1,0
2021-11-01,798.7184945218851,13919693,4574,1.999370971499573,526,843958,5873420,273.16282506614544,143.69106925777487,delta,1,0
2021-11-08,794.7443941353085,13691388,4700,1.5993709714995727,529,1079096,5873420,388.95566807754255,183.72532527896865,delta,1,0
2021-11-15,1727.630782470552,12829467,4060,1.3993709714995735,502,1165091,5873420,480.86123587279644,198.36670968532812,delta,1,0
2021-11-22,1909.9395336914386,13888464,4048.481565430139,0.7993709714995738,526,1243784,5873420,496.116402368637,211.7648661256985,delta,1,0
2021-11-29,2077.14207633401,12148888,5901,-1.4006290285004273,506,1295015,5873420,589.1627024799861,220.48738213851553,delta,0.98,0.02
